"imputation","iteration","suggested_factors","item_removed","removal_reason","removal_value","communality","complexity","highest_loading"
6,26,26,"Dont_Fit_Community","max_loading",0.25,0.51,6.71,0.25
6,27,26,"Avoid_Distraction","max_loading",0.25,0.32,6.39,0.25
6,28,26,"Nothing_Cheer","max_loading",0.25,0.7,7.9,0.25
6,29,25,"Careless","max_loading",0.22,0.3,8.22,0.22
6,30,25,"Some_Wander_Aimlessly","max_loading",0.24,0.47,5.68,0.24
6,31,25,"Positive_About_Self","max_loading",0.24,0.78,10.63,0.24
6,32,25,"People_Take_Advantage","max_loading",0.26,0.47,6.73,0.26
6,33,25,"Sense_Of_Direction","max_loading",0.27,0.61,5.87,0.27
6,34,25,"Expect_The_Best","max_loading",0.28,0.36,6.14,0.28
6,35,25,"Optimistic_About_Future","max_loading",0.27,0.48,5.65,0.27
6,36,24,"Choose_Goals","communality",0.2,0.2,6.03,0.28
6,37,24,"To_Reach_Goals","communality",0.16,0.16,5.59,0.18
6,38,24,"Actively_Carry_Plans","max_loading",0.28,0.53,4.83,0.28
6,39,24,"More_Sucessful","max_loading",0.29,0.41,4.14,0.29
6,40,24,"Social_Others_Lead","max_loading",0.3,0.32,5.33,0.3
7,1,29,"Sympathy_Limits","communality",0.12,0.12,7.29,0.18
7,2,28,"Worry_Compare","communality",0.13,0.13,5.61,0.2
7,3,27,"More_Or_Less_Positive","communality",0.16,0.16,2.13,0.31
7,4,27,"Should_Obey_Law","communality",0.19,0.19,6.85,0.21
7,5,27,"Alcohol_More_Than_Intended","communality",0.19,0.19,10.84,0.17
7,6,27,"Aware_Body","communality",0.2,0.2,3.24,0.34
7,7,27,"Without_skill","communality",0.23,0.23,1.43,0.44
7,8,27,"When_Difficult","communality",0.17,0.17,2.44,0.33
7,9,27,"Approach_Health","communality",0.21,0.21,3.18,0.25
7,10,27,"Quick_Sense_Hunger","communality",0.24,0.24,1.24,0.5
7,11,26,"Low_Pain_Tolerance","communality",0.22,0.22,7.81,0.24
7,12,26,"Loud_Noise","communality",0.24,0.24,8.66,0.19
7,13,26,"Hate_Temp","communality",0.24,0.24,6.27,0.22
7,14,26,"Intercourse_Pain","communality",0.24,0.24,4.71,0.28
7,15,26,"Leaking_Urine","communality",0.23,0.23,2.55,0.33
7,16,26,"Releived_No_Responsibility","communality",0.24,0.24,2.8,0.34
7,17,26,"Bad_Happens_Prevented","communality",0.25,0.25,6.8,0.22
7,18,26,"Headache_Frequency","communality",0.25,0.25,7.67,0.2
7,19,26,"Mental_Emotional","max_loading",0.22,0.38,6.51,0.22
7,20,26,"Exciting_Look_Forward","max_loading",0.22,0.54,8.41,0.22
7,21,26,"Trust_Friends","max_loading",0.23,0.47,7.71,0.23
7,22,25,"Actively_Carry_Plans","max_loading",0.23,0.54,6.43,0.23
7,23,26,"High_Standards","max_loading",0.25,0.45,8.55,0.25
7,24,26,"Dont_Fit_Community","max_loading",0.25,0.5,6.7,0.25
7,25,26,"Nothing_Cheer","max_loading",0.25,0.73,9.17,0.25
7,26,25,"Careless","max_loading",0.24,0.3,6.93,0.24
7,27,25,"Some_Wander_Aimlessly","max_loading",0.25,0.46,5.88,0.25
7,28,25,"Positive_About_Self","max_loading",0.25,0.79,9.9,0.25
7,29,25,"Avoid_Distraction","max_loading",0.25,0.33,6.22,0.25
7,30,25,"People_Take_Advantage","max_loading",0.26,0.46,6.9,0.26
7,31,25,"Worry_Frequency","max_loading",0.27,0.41,4.82,0.27
7,32,25,"Upset_Think_Day","max_loading",0.28,0.54,6.26,0.28
7,33,25,"Minor_Setback_Irritate","max_loading",0.28,0.5,4.91,0.28
7,34,25,"More_Sucessful","max_loading",0.29,0.41,4.5,0.29
7,35,25,"Worthless_Freq","max_loading",0.28,0.8,6.63,0.28
7,36,25,"Everything_Effort","max_loading",0.29,0.58,5.12,0.29
7,37,25,"Sense_Of_Direction","max_loading",0.29,0.61,5.69,0.29
7,38,25,"Expect_The_Best","max_loading",0.29,0.36,5.63,0.29
7,39,25,"Optimistic_About_Future","max_loading",0.28,0.47,5.41,0.28
7,40,24,"Choose_Goals","communality",0.2,0.2,5.84,0.28
7,41,24,"To_Reach_Goals","communality",0.16,0.16,5.59,0.18
7,42,24,"Social_Others_Lead","max_loading",0.3,0.31,5.14,0.3
8,1,28,"Sympathy_Limits","communality",0.12,0.12,6.2,0.19
8,2,28,"Worry_Compare","communality",0.13,0.13,5.26,0.21
8,3,27,"More_Or_Less_Positive","communality",0.16,0.16,2.13,0.31
8,4,27,"Alcohol_More_Than_Intended","communality",0.19,0.19,9.47,0.18
8,5,27,"Should_Obey_Law","communality",0.19,0.19,6.38,0.21
8,6,27,"Aware_Body","communality",0.19,0.19,3.18,0.34
8,7,27,"Without_skill","communality",0.22,0.22,1.46,0.44
8,8,27,"When_Difficult","communality",0.16,0.16,2.39,0.34
8,9,27,"Approach_Health","communality",0.21,0.21,3.36,0.25
8,10,27,"Intercourse_Pain","communality",0.23,0.23,6.4,0.24
8,11,27,"Leaking_Urine","communality",0.24,0.24,2.64,0.33
8,12,27,"Releived_No_Responsibility","communality",0.24,0.24,3.12,0.33
8,13,27,"Bad_Happens_Prevented","communality",0.24,0.24,6.63,0.22
8,14,27,"Quick_Sense_Hunger","communality",0.24,0.24,1.23,0.51
8,15,26,"Low_Pain_Tolerance","communality",0.22,0.22,7.43,0.24
8,16,26,"Loud_Noise","communality",0.24,0.24,9.76,0.17
8,17,26,"Hate_Temp","communality",0.23,0.23,7.08,0.2
8,18,26,"Headache_Frequency","communality",0.25,0.25,7.77,0.2
8,19,26,"Mental_Emotional","max_loading",0.22,0.38,6.64,0.22
8,20,26,"Exciting_Look_Forward","max_loading",0.22,0.54,8.41,0.22
8,21,26,"Trust_Friends","max_loading",0.23,0.48,7.59,0.23
8,22,25,"Careless","max_loading",0.22,0.3,7.94,0.22
8,23,26,"Actively_Carry_Plans","max_loading",0.23,0.54,6.36,0.23
8,24,26,"Worthless_Freq","max_loading",0.24,0.82,8.22,0.24
8,25,25,"Some_Wander_Aimlessly","max_loading",0.25,0.46,5.83,0.25
8,26,26,"Nothing_Cheer","max_loading",0.25,0.72,8.42,0.25
8,27,25,"Positive_About_Self","max_loading",0.26,0.78,9.87,0.26
8,28,25,"Avoid_Distraction","max_loading",0.25,0.32,5.98,0.25
8,29,25,"High_Standards","max_loading",0.26,0.45,8.15,0.26
8,30,25,"Worry_Frequency","max_loading",0.26,0.41,5.05,0.26
8,31,25,"People_Take_Advantage","max_loading",0.27,0.47,6.71,0.27
8,32,25,"Dont_Fit_Community","max_loading",0.28,0.5,5.93,0.28
8,33,25,"Expect_The_Best","max_loading",0.28,0.36,6.14,0.28
8,34,25,"Optimistic_About_Future","max_loading",0.27,0.48,5.6,0.27
8,35,25,"Sense_Of_Direction","max_loading",0.29,0.61,5.54,0.29
8,36,24,"Choose_Goals","communality",0.19,0.19,5.47,0.29
8,37,24,"To_Reach_Goals","communality",0.16,0.16,5.61,0.17
8,38,24,"More_Sucessful","max_loading",0.29,0.41,4.1,0.29
8,39,24,"Everything_Effort","max_loading",0.29,0.58,5.15,0.29
8,40,24,"Upset_Think_Day","max_loading",0.3,0.53,5.53,0.3
