"lhs","op","rhs","mi","riv","fmi","epc","sepc.lv","sepc.all"
"Like_Difficult_Things","~~","Like_Hard_Work",459.560281749328,0.0300691251610198,0.0291913663137117,-0.232046200364804,-0.232046200364804,-0.304261245543757
"Disinhibited_Externalizing","=~","Worthless_Freq",420.43904142989,0.0916544693694488,0.0839592306367686,0.170346237837777,0.170346237837777,0.170346237837777
"Too_Much_Get_Done","~~","Dont_Give_Up",408.914691739913,0.0206520625855537,0.020234184931971,-0.213978186728611,-0.213978186728611,-0.32396095958519
"Enjoy_Hurting_Say_Mean","~~","When_Insult_Get_Even",408.125521423541,0.0185445914937365,0.0182069510246381,-0.288668333159242,-0.288668333159242,-0.402871417004699
"Detachment","=~","Upset_Freq_30_Day",402.950168658732,0.0727902465726073,0.067851331427705,0.165120921298174,0.165120921298174,0.165120921298174
"Anatagonistic","=~","Dont_Give_Up",373.872770800785,0.049959143679914,0.0475819882903409,-0.136885570116796,-0.136885570116796,-0.136885570116796
"Maintaining_Relationships_Hard","~~","No_Warm_Relationship",369.838611709104,0.0114238198640953,0.0112947902152732,-0.158257426537144,-0.158257426537144,-0.306251151253617
"Internalizing","=~","When_Insult_Get_Even",368.830763354171,0.0482455186073891,0.0460250177567981,0.227683052192717,0.227683052192717,0.227683052192717
"Internalizing","=~","Difficult_Arrange",348.159675647711,0.0385248923425852,0.037095781359352,-0.147259757765033,-0.147259757765033,-0.147259757765033
"Internalizing","=~","Gave_Up",331.754087292434,0.046145427837678,0.0441099550882308,0.158479938656824,0.158479938656824,0.158479938656824
"Detachment","=~","Angry_Freq",328.494954350927,0.055286423827577,0.0523899697553678,0.149736365788683,0.149736365788683,0.149736365788683
"Lonely_Frequency","~~","Few_Close_Friends",324.943513476773,0.0147322674949342,0.0145183788540633,-0.196412719722366,-0.196412719722366,-0.460866873033286
"Detachment","=~","Lonely_Frequency",318.041635993741,0.0874239518628157,0.0803954627935625,-0.157414757803503,-0.157414757803503,-0.157414757803503
"Plan_Future","~~","Know_Want_Life",314.279129218548,0.0429661555782022,0.041196116813956,-0.164480785332097,-0.164480785332097,-0.359712041418115
"Anatagonistic","=~","Know_Want_Life",309.475022358459,0.0377459184866658,0.0363729866957321,0.127326307312671,0.127326307312671,0.127326307312671
"Anatagonistic","=~","Like_Difficult_Things",306.603075452194,0.0823526990992668,0.0760867498808851,-0.123921098891904,-0.123921098891904,-0.123921098891904
"Internalizing","=~","Dont_Give_Up",305.141250335788,0.0639848252856753,0.0601369716607524,-0.106276478839871,-0.106276478839871,-0.106276478839871
"Detachment","=~","Goal_Keep_Benefits",304.075003326045,0.0557508764054688,0.0528068483308151,-0.143310646323923,-0.143310646323923,-0.143310646323923
"Anatagonistic","=~","Goal_Keep_Benefits",296.772108512538,0.0615955932713987,0.0580217115272555,-0.120125478841643,-0.120125478841643,-0.120125478841643
"No_Good_Sense","~~","Know_Want_Life",294.584850585154,0.0251707995958939,0.0245527863316199,0.163560401138477,0.163560401138477,0.430456879220175
"Internalizing","=~","Know_Want_Life",281.924757448662,0.0513631211033135,0.0488538356276111,0.103681301240967,0.103681301240967,0.103681301240967
"Frustrated_Freq_30_Day","~~","Upset_Freq_30_Day",280.307628746285,0.0225578186917476,0.0220601889491275,-0.113481442765003,-0.113481442765003,-0.357668696541518
"Detachment","=~","Like_Difficult_Things",278.399812397082,0.0743009989815658,0.0691621799216448,-0.140885254948306,-0.140885254948306,-0.140885254948306
"Like_Hard_Work","~~","High_Standards",270.617179095725,0.0329649469945514,0.0319129386630825,-0.196461252270338,-0.196461252270338,-0.264621704134241
